Año,Mes,Distrito,Dependencia,Tipo,Cantidad
2024,Junio,Metán,Policiales,Violencia no penal,46
2024,Junio,Metán,Policiales,Penal,658
2024,Junio,Anta,Judiciales,Penal por violencia de género,1
2024,Junio,Anta,Judiciales,Penal por violencia familiar,0
2024,Junio,Anta,Judiciales,Violencia no penal,4
2024,Junio,Anta,Judiciales,Penal,6
2024,Junio,Anta,Policiales,Penal por violencia de género,33
2024,Junio,Anta,Policiales,Penal por violencia familiar,1
2024,Junio,Anta,Policiales,Violencia no penal,16
2024,Junio,Anta,Policiales,Penal,102
2024,Junio,Tartagal,Judiciales,Penal por violencia de género,12
2024,Junio,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Junio,Tartagal,Judiciales,Violencia no penal,9
2024,Junio,Tartagal,Judiciales,Penal,11
2024,Junio,Tartagal,Policiales,Penal por violencia de género,244
2024,Junio,Tartagal,Policiales,Penal por violencia familiar,10
2024,Junio,Tartagal,Policiales,Violencia no penal,133
2024,Junio,Tartagal,Policiales,Penal,959
2024,Julio,Centro,Judiciales,Penal por violencia de género,149
2024,Julio,Centro,Judiciales,Penal por violencia familiar,71
2024,Julio,Centro,Judiciales,Violencia no penal,38
2024,Julio,Centro,Judiciales,Penal,547
2024,Julio,Centro,Policiales,Penal por violencia de género,870
2024,Julio,Centro,Policiales,Penal por violencia familiar,316
2024,Julio,Centro,Policiales,Violencia no penal,462
2024,Julio,Centro,Policiales,Penal,5388
2024,Julio,Cafayate,Judiciales,Penal por violencia de género,1
2024,Julio,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Julio,Cafayate,Judiciales,Violencia no penal,0
2024,Julio,Cafayate,Judiciales,Penal,1
2024,Julio,Cafayate,Policiales,Penal por violencia de género,41
2024,Julio,Cafayate,Policiales,Penal por violencia familiar,3
2024,Julio,Cafayate,Policiales,Violencia no penal,16
2024,Julio,Cafayate,Policiales,Penal,137
2024,Julio,Orán,Judiciales,Penal por violencia de género,14
2024,Julio,Orán,Judiciales,Penal por violencia familiar,1
2024,Julio,Orán,Judiciales,Violencia no penal,3
2024,Julio,Orán,Judiciales,Penal,12
2024,Julio,Orán,Policiales,Penal por violencia de género,135
2024,Julio,Orán,Policiales,Penal por violencia familiar,35
