Año,Distrito,Género,Rango_etario,Frecuencia,Ord_rango_etario
2023,Sur-Anta,Varones,50-59 años,26,6
2023,Sur-Anta,Varones,60-74 años,15,7
2023,Sur-Anta,Varones,Sin especificar,307,9
2023,Centro,Mujeres,Más de 74 años,52,8
2023,Centro,Mujeres,0-17 años,49,1
2023,Centro,Mujeres,18-21 años,388,2
2023,Centro,Mujeres,22-29 años,1686,3
2023,Centro,Mujeres,30-39 años,1954,4
2023,Centro,Mujeres,40-49 años,999,5
2023,Centro,Mujeres,50-59 años,423,6
2023,Centro,Mujeres,60-74 años,241,7
2023,Centro,Mujeres,Sin especificar,3045,9
2023,Centro,Varones,Más de 74 años,109,8
2023,Centro,Varones,0-17 años,134,1
2023,Centro,Varones,18-21 años,818,2
2023,Centro,Varones,22-29 años,3414,3
2023,Centro,Varones,30-39 años,4099,4
2023,Centro,Varones,40-49 años,2423,5
2023,Centro,Varones,50-59 años,880,6
2023,Centro,Varones,60-74 años,577,7
2023,Centro,Varones,Sin especificar,4358,9
2023,Sur-Metán,Mujeres,Más de 74 años,6,8
2023,Sur-Metán,Mujeres,0-17 años,17,1
2023,Sur-Metán,Mujeres,18-21 años,43,2
2023,Sur-Metán,Mujeres,22-29 años,108,3
2023,Sur-Metán,Mujeres,30-39 años,104,4
2023,Sur-Metán,Mujeres,40-49 años,55,5
2023,Sur-Metán,Mujeres,50-59 años,28,6
2023,Sur-Metán,Mujeres,60-74 años,5,7
2023,Sur-Metán,Mujeres,Sin especificar,430,9
2023,Sur-Metán,Varones,Más de 74 años,10,8
2023,Sur-Metán,Varones,0-17 años,23,1
2023,Sur-Metán,Varones,18-21 años,82,2
2023,Sur-Metán,Varones,22-29 años,239,3
2023,Sur-Metán,Varones,30-39 años,289,4
2023,Sur-Metán,Varones,40-49 años,211,5
2023,Sur-Metán,Varones,50-59 años,55,6
2023,Sur-Metán,Varones,60-74 años,47,7
2023,Sur-Metán,Varones,Sin especificar,669,9
2023,Norte-Orán,Mujeres,Más de 74 años,4,8
2023,Norte-Orán,Mujeres,0-17 años,11,1
2023,Norte-Orán,Mujeres,18-21 años,48,2
2023,Norte-Orán,Mujeres,22-29 años,195,3
2023,Norte-Orán,Mujeres,30-39 años,197,4
2023,Norte-Orán,Mujeres,40-49 años,79,5
2023,Norte-Orán,Mujeres,50-59 años,37,6
2023,Norte-Orán,Mujeres,60-74 años,17,7
2023,Norte-Orán,Mujeres,Sin especificar,645,9
2023,Norte-Orán,Varones,Más de 74 años,17,8
2023,Norte-Orán,Varones,0-17 años,39,1
2023,Norte-Orán,Varones,18-21 años,145,2
2023,Norte-Orán,Varones,22-29 años,603,3
2023,Norte-Orán,Varones,30-39 años,532,4
2023,Norte-Orán,Varones,40-49 años,324,5
2023,Norte-Orán,Varones,50-59 años,100,6
2023,Norte-Orán,Varones,60-74 años,54,7
2023,Norte-Orán,Varones,Sin especificar,1274,9
2023,Norte-Tartagal,Mujeres,Más de 74 años,10,8
2023,Norte-Tartagal,Mujeres,0-17 años,7,1
