Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2022,Centro,Varones,Sin especificar,12,131
2022,Sur-Metán,Varones,Sin especificar,12,40
2022,Norte-Orán,Varones,Sin especificar,12,51
2022,Norte-Tartagal,Varones,Sin especificar,12,43
2023,Sur-Anta,Mujeres,Más de 74 años,11,16
2023,Sur-Anta,Mujeres,0-5 años,1,32
2023,Sur-Anta,Mujeres,6-10 años,2,33
2023,Sur-Anta,Mujeres,11-14 años,3,40
2023,Sur-Anta,Mujeres,15-17 años,4,33
2023,Sur-Anta,Mujeres,18-21 años,5,65
2023,Sur-Anta,Mujeres,22-29 años,6,133
2023,Sur-Anta,Mujeres,30-39 años,7,135
2023,Sur-Anta,Mujeres,40-49 años,8,91
2023,Sur-Anta,Mujeres,50-59 años,9,39
2023,Sur-Anta,Mujeres,60-74 años,10,25
2023,Sur-Anta,Mujeres,Sin especificar,12,23
2023,Sur-Anta,Varones,Más de 74 años,11,3
2023,Sur-Anta,Varones,0-5 años,1,28
2023,Sur-Anta,Varones,6-10 años,2,31
2023,Sur-Anta,Varones,11-14 años,3,20
2023,Sur-Anta,Varones,15-17 años,4,9
2023,Sur-Anta,Varones,18-21 años,5,9
2023,Sur-Anta,Varones,22-29 años,6,51
2023,Sur-Anta,Varones,30-39 años,7,101
2023,Sur-Anta,Varones,40-49 años,8,65
2023,Sur-Anta,Varones,50-59 años,9,25
2023,Sur-Anta,Varones,60-74 años,10,19
2023,Sur-Anta,Varones,Sin especificar,12,20
2023,Centro,Mujeres,Más de 74 años,11,413
2023,Centro,Mujeres,0-5 años,1,572
2023,Centro,Mujeres,6-10 años,2,757
2023,Centro,Mujeres,11-14 años,3,699
2023,Centro,Mujeres,15-17 años,4,505
2023,Centro,Mujeres,18-21 años,5,1242
2023,Centro,Mujeres,22-29 años,6,4169
2023,Centro,Mujeres,30-39 años,7,4458
2023,Centro,Mujeres,40-49 años,8,2849
2023,Centro,Mujeres,50-59 años,9,1494
2023,Centro,Mujeres,60-74 años,10,1122
2023,Centro,Mujeres,Sin especificar,12,454
2023,Centro,Varones,Más de 74 años,11,181
2023,Centro,Varones,0-5 años,1,585
2023,Centro,Varones,6-10 años,2,732
2023,Centro,Varones,11-14 años,3,479
2023,Centro,Varones,15-17 años,4,262
2023,Centro,Varones,18-21 años,5,272
2023,Centro,Varones,22-29 años,6,984
2023,Centro,Varones,30-39 años,7,1398
2023,Centro,Varones,40-49 años,8,953
2023,Centro,Varones,50-59 años,9,445
2023,Centro,Varones,60-74 años,10,488
2023,Centro,Varones,Sin especificar,12,208
2023,Sur-Metán,Mujeres,Más de 74 años,11,35
2023,Sur-Metán,Mujeres,0-5 años,1,22
2023,Sur-Metán,Mujeres,6-10 años,2,46
2023,Sur-Metán,Mujeres,11-14 años,3,49
2023,Sur-Metán,Mujeres,15-17 años,4,58
2023,Sur-Metán,Mujeres,18-21 años,5,129
2023,Sur-Metán,Mujeres,22-29 años,6,425
2023,Sur-Metán,Mujeres,30-39 años,7,359
2023,Sur-Metán,Mujeres,40-49 años,8,232
2023,Sur-Metán,Mujeres,50-59 años,9,110
2023,Sur-Metán,Mujeres,60-74 años,10,66
2023,Sur-Metán,Mujeres,Sin especificar,12,111
2023,Sur-Metán,Varones,Más de 74 años,11,20
2023,Sur-Metán,Varones,0-5 años,1,25
2023,Sur-Metán,Varones,6-10 años,2,44
2023,Sur-Metán,Varones,11-14 años,3,25
2023,Sur-Metán,Varones,15-17 años,4,18
2023,Sur-Metán,Varones,18-21 años,5,28
2023,Sur-Metán,Varones,22-29 años,6,77
2023,Sur-Metán,Varones,30-39 años,7,85
2023,Sur-Metán,Varones,40-49 años,8,56
2023,Sur-Metán,Varones,50-59 años,9,18
2023,Sur-Metán,Varones,60-74 años,10,32
2023,Sur-Metán,Varones,Sin especificar,12,87
2023,Norte-Orán,Mujeres,Más de 74 años,11,29
2023,Norte-Orán,Mujeres,0-5 años,1,67
2023,Norte-Orán,Mujeres,6-10 años,2,69
2023,Norte-Orán,Mujeres,11-14 años,3,88
2023,Norte-Orán,Mujeres,15-17 años,4,136
2023,Norte-Orán,Mujeres,18-21 años,5,238
2023,Norte-Orán,Mujeres,22-29 años,6,647
2023,Norte-Orán,Mujeres,30-39 años,7,572
2023,Norte-Orán,Mujeres,40-49 años,8,366
2023,Norte-Orán,Mujeres,50-59 años,9,135
2023,Norte-Orán,Mujeres,60-74 años,10,120
2023,Norte-Orán,Mujeres,Sin especificar,12,199
2023,Norte-Orán,Varones,Más de 74 años,11,18
2023,Norte-Orán,Varones,0-5 años,1,46
2023,Norte-Orán,Varones,6-10 años,2,64
2023,Norte-Orán,Varones,11-14 años,3,49
2023,Norte-Orán,Varones,15-17 años,4,27
2023,Norte-Orán,Varones,18-21 años,5,22
2023,Norte-Orán,Varones,22-29 años,6,73
2023,Norte-Orán,Varones,30-39 años,7,96
2023,Norte-Orán,Varones,40-49 años,8,69
2023,Norte-Orán,Varones,50-59 años,9,43
2023,Norte-Orán,Varones,60-74 años,10,48
2023,Norte-Orán,Varones,Sin especificar,12,60
2023,Norte-Tartagal,Mujeres,Más de 74 años,11,33
2023,Norte-Tartagal,Mujeres,0-5 años,1,55
2023,Norte-Tartagal,Mujeres,6-10 años,2,84
2023,Norte-Tartagal,Mujeres,11-14 años,3,117
2023,Norte-Tartagal,Mujeres,15-17 años,4,137
2023,Norte-Tartagal,Mujeres,18-21 años,5,282
2023,Norte-Tartagal,Mujeres,22-29 años,6,685
2023,Norte-Tartagal,Mujeres,30-39 años,7,654
2023,Norte-Tartagal,Mujeres,40-49 años,8,411
2023,Norte-Tartagal,Mujeres,50-59 años,9,199
2023,Norte-Tartagal,Mujeres,60-74 años,10,117
2023,Norte-Tartagal,Mujeres,Sin especificar,12,355
2023,Norte-Tartagal,Varones,Más de 74 años,11,13
2023,Norte-Tartagal,Varones,0-5 años,1,56
2023,Norte-Tartagal,Varones,6-10 años,2,46
2023,Norte-Tartagal,Varones,11-14 años,3,40
2023,Norte-Tartagal,Varones,15-17 años,4,30
2023,Norte-Tartagal,Varones,18-21 años,5,22
2023,Norte-Tartagal,Varones,22-29 años,6,123
2023,Norte-Tartagal,Varones,30-39 años,7,131
2023,Norte-Tartagal,Varones,40-49 años,8,92
2023,Norte-Tartagal,Varones,50-59 años,9,93
2023,Norte-Tartagal,Varones,60-74 años,10,58
2023,Norte-Tartagal,Varones,Sin especificar,12,134
2024,Centro,Mujeres,0-5 años,1,394
2024,Centro,Mujeres,11-14 años,3,558
2024,Centro,Mujeres,15-17 años,4,438
2024,Centro,Mujeres,18-21 años,5,975
2024,Centro,Mujeres,22-29 años,6,3290
2024,Centro,Mujeres,30-39 años,7,3741
2024,Centro,Mujeres,40-49 años,8,2627
2024,Centro,Mujeres,50-59 años,9,1357
2024,Centro,Mujeres,6-10 años,2,563
2024,Centro,Mujeres,60-74 años,10,1035
2024,Centro,Mujeres,Más de 74 años,11,332
2024,Centro,Mujeres,Sin especificar,12,386
2024,Centro,Varones,0-5 años,1,397
2024,Centro,Varones,11-14 años,3,350
2024,Centro,Varones,15-17 años,4,200
2024,Centro,Varones,18-21 años,5,201
2024,Centro,Varones,22-29 años,6,897
2024,Centro,Varones,30-39 años,7,1268
2024,Centro,Varones,40-49 años,8,920
2024,Centro,Varones,50-59 años,9,476
2024,Centro,Varones,6-10 años,2,589
2024,Centro,Varones,60-74 años,10,386
2024,Centro,Varones,Más de 74 años,11,141
2024,Centro,Varones,Sin especificar,12,182
2024,Norte-Orán,Mujeres,0-5 años,1,47
2024,Norte-Orán,Mujeres,11-14 años,3,83
2024,Norte-Orán,Mujeres,15-17 años,4,90
2024,Norte-Orán,Mujeres,18-21 años,5,166
2024,Norte-Orán,Mujeres,22-29 años,6,524
2024,Norte-Orán,Mujeres,30-39 años,7,482
2024,Norte-Orán,Mujeres,40-49 años,8,270
2024,Norte-Orán,Mujeres,50-59 años,9,115
2024,Norte-Orán,Mujeres,6-10 años,2,81
2024,Norte-Orán,Mujeres,60-74 años,10,103
2024,Norte-Orán,Mujeres,Más de 74 años,11,24
2024,Norte-Orán,Mujeres,Sin especificar,12,99
2024,Norte-Orán,Varones,0-5 años,1,34
2024,Norte-Orán,Varones,11-14 años,3,39
2024,Norte-Orán,Varones,15-17 años,4,29
2024,Norte-Orán,Varones,18-21 años,5,33
2024,Norte-Orán,Varones,22-29 años,6,138
2024,Norte-Orán,Varones,30-39 años,7,193
2024,Norte-Orán,Varones,40-49 años,8,164
2024,Norte-Orán,Varones,50-59 años,9,69
2024,Norte-Orán,Varones,6-10 años,2,45
2024,Norte-Orán,Varones,60-74 años,10,54
2024,Norte-Orán,Varones,Más de 74 años,11,15
2024,Norte-Orán,Varones,Sin especificar,12,44
2024,Norte-Tartagal,Mujeres,0-5 años,1,54
2024,Norte-Tartagal,Mujeres,11-14 años,3,124
2024,Norte-Tartagal,Mujeres,15-17 años,4,120
2024,Norte-Tartagal,Mujeres,18-21 años,5,270
2024,Norte-Tartagal,Mujeres,22-29 años,6,634
2024,Norte-Tartagal,Mujeres,30-39 años,7,713
2024,Norte-Tartagal,Mujeres,40-49 años,8,444
2024,Norte-Tartagal,Mujeres,50-59 años,9,214
2024,Norte-Tartagal,Mujeres,6-10 años,2,68
2024,Norte-Tartagal,Mujeres,60-74 años,10,127
2024,Norte-Tartagal,Mujeres,Más de 74 años,11,35
2024,Norte-Tartagal,Mujeres,Sin especificar,12,94
2024,Norte-Tartagal,Varones,0-5 años,1,50
2024,Norte-Tartagal,Varones,11-14 años,3,28
2024,Norte-Tartagal,Varones,15-17 años,4,22
2024,Norte-Tartagal,Varones,18-21 años,5,34
2024,Norte-Tartagal,Varones,22-29 años,6,178
2024,Norte-Tartagal,Varones,30-39 años,7,250
2024,Norte-Tartagal,Varones,40-49 años,8,167
2024,Norte-Tartagal,Varones,50-59 años,9,119
2024,Norte-Tartagal,Varones,6-10 años,2,52
2024,Norte-Tartagal,Varones,60-74 años,10,75
2024,Norte-Tartagal,Varones,Más de 74 años,11,18
2024,Norte-Tartagal,Varones,Sin especificar,12,49
2024,Sur-Anta,Mujeres,0-5 años,1,13
2024,Sur-Anta,Mujeres,11-14 años,3,19
2024,Sur-Anta,Mujeres,15-17 años,4,44
2024,Sur-Anta,Mujeres,18-21 años,5,102
2024,Sur-Anta,Mujeres,22-29 años,6,183
2024,Sur-Anta,Mujeres,30-39 años,7,170
2024,Sur-Anta,Mujeres,40-49 años,8,123
