Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
Sí,7/25/2024 15:20:09,1/9/2009,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,NO,APODOS,NO,AVISAR DE ESTAS SITUACIONES EN LA CASA,NO,NO,SI,SI,ORGANIZACIÓN EN LA FORMACIÓN/FILAS,EN EL AULA,SI,"IDENTIDAD DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
Sí,7/25/2024 15:20:13,10/11/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,ORGANIZACIÓN EN LA FORMACIÓN/FILAS,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
Sí,7/25/2024 15:20:20,1/4/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,NO,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO",,NO,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
Sí,7/25/2024 15:20:49,6/30/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,DIRECTIVOS,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER","DIRECCIÓN, NO ATRAVESÉ SITUACIONES DE VIOLENCIA",SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,SI,"CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS"
No,10/3/2023 13:54:38,2/1/2004,20,Varón cis,Sí,No,Gay,Secundaria,Secundario estatal,Cerrillos,Constantementes,"Directivos, Coordinadores, Docentes, Estudiantes",Sí,,"Insultos, Apodos, Burlas/Chistes, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc.",No,"Denunciar Estas Situaciones Ante Las Autoridades Del Establecimiento, Defenderte Con Firmeza, Pero Sin Ejercer Violencia, No Reaccionaste Ante Estas Situaciones",No,No,No,Sí,Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer,"En El Aula, Pasillos, Patio, Campo Deportivo/Gimnasio",Sí,Ninguno De Los Temas Anteriores,Salud Integral De La Diversidad Sexual/Afectiva,No,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,
Sí,7/25/2024 15:20:57,4/9/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,SI,"CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS"
Sí,7/25/2024 15:21:02,10/19/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,SI,"CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS"
Sí,7/25/2024 15:21:05,6/27/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,UNIFORME/VESTIMENTA,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,SI,"CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS"
No,10/3/2023 14:49:17,9/6/2004,20,Mujer cis,Sí,No,Lesbiana,Secundaria,Universidad estatal,Salta,A veces,"Directivos, Docentes, Estudiantes",Sí,,"Insultos, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,Avisar De Estas Situaciones En La Casa,No,,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Prácticas Deportivas Separadas Por Varón/Mujer","En El Aula, Pasillos",No,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Talleres, Capacitaciones, Actividades Culturales"
No,10/3/2023 14:58:24,7/29/2004,20,Mujer cis,Sí,No,Bisexual,Superior (Unversitario/Terciario),Universidad privada,Salta,A veces,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,,No,,,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
Sí,7/25/2024 15:39:11,7/25/2009,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SECLANTÁS,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,ORIENTACIÓN SEXUAL,,NO,NO,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,NO,OTRAS
Sí,7/25/2024 15:39:15,11/25/2008,,Mujer cis,TRUE,No,Heterosexual,PRIMARIA,SECUNDARIO ESTATAL,SECLANTÁS,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO",,NO,NO,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,NO,OTRAS
Sí,7/25/2024 15:39:16,6/26/2009,,Mujer cis,TRUE,No,Heterosexual,PRIMARIA,SECUNDARIO ESTATAL,SECLANTÁS,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO",,NO,NO,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,NO,
No,10/3/2023 15:13:09,7/8/2004,20,Varón cis,Sí,No,Pansexual,Secundaria,Universidad estatal,Salta,Constantementes,Estudiantes,Sí,,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Empujones, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",Sí,"Denunciar Estas Situaciones Ante Las Autoridades Del Establecimiento, Avisar De Estas Situaciones En La Casa, Avisar De Estas Situaciones En El Establecimiento Educativo, Pedir Un Consejo/Ayuda A Algún Compañero/A, Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,No,No,No,,"En El Aula, Pasillos, Patio, Baños O Vestuarios, Campo Deportivo/Gimnasio, Escaleras",Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Charlas Informativas, Conmemoraciones"
No,10/3/2023 19:45:54,11/23/2003,20,Mujer cis,Sí,No,Lesbiana,Secundaria,Terciario estatal,Rosario de la Frontera,A veces,Estudiantes,Sí,,Burlas/Chistes,No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,Sí,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Planillas De Asistencia Discriminada Por Varón/Mujer",En El Aula,No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
Sí,7/25/2024 15:49:08,9/24/2006,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,NO,,,SI,"IDENTIDAD DE GÉNERO, EXPRESIÓN DE GÉNERO, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,
Sí,7/25/2024 15:49:50,7/15/2006,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,NO,BURLAS/CHISTES,NO,,NO,NO,SI,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER","EN EL AULA, PASILLOS",SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
Sí,7/25/2024 15:49:59,7/25/2024,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,SI,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,"CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS"
Sí,7/25/2024 15:50:31,3/23/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,SI,SI,LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN),NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
Sí,7/25/2024 15:51:53,7/16/2006,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO REACCIONASTE ANTE ESTAS SITUACIONES,NO,NO,SI,SI,UNIFORME/VESTIMENTA,,SI,,,SI,SI,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
Sí,7/25/2024 15:52:30,7/26/2024,,Varón cis,TRUE,Sí,Heterosexual,SECUNDARIA,SECUNDARIO PRIVADO,AGUARAY,CONSTANTEMENTE,"DIRECTIVOS, COORDINADORES, DOCENTES, ADMINISTRATIVOS/PRECEPTORES, PERSONAL DE MAESTRANZA, ESTUDIANTES",NO,SI,APODOS,NO,DENUNCIAR ESTAS SITUACIONES ANTE LAS AUTORIDADES DEL ESTABLECIMIENTO,SI,SI,NO,NO,LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN),EN EL AULA,NO,IDENTIDAD DE GÉNERO,,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,SI,TALLERES
No,10/9/2023 16:34:04,5/4/2004,20,Varón trans,No,No,Pansexual,Secundaria,Universidad estatal,Salta,A veces,"Docentes, Estudiantes",Sí,Sí,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Amenazas, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",Sí,No Reaccionaste Ante Estas Situaciones,No,Sí,Sí,No,,"En El Aula, Pasillos, Patio, Baños O Vestuarios, Campo Deportivo/Gimnasio, Escaleras",No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",No,Sí,"Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,11/23/2023 2:40:12,4/16/2004,20,No binario,No,No,Gay,Superior (Unversitario/Terciario),Terciario estatal,Tartagal,A veces,"Directivos, Docentes, Estudiantes",Sí,No,"Insultos, Burlas/Chistes",No,No Reaccionaste Ante Estas Situaciones,No,No,Sí,No,,No Atravesé Situaciones De Violencia,Sí,"Ninguno De Los Temas Anteriores, Violencia De Género ","Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,Sí,Organizar Campañas De Sensibilización E Información,No,
No,2/29/2024 0:57:39,3/8/2004,20,Mujer cis,Sí,No,Bisexual,Secundaria,Universidad estatal,Salta,A veces,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Prácticas Deportivas Inclusivas",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
Sí,7/25/2024 15:54:50,6/10/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,SI,APODOS,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,UNIFORME/VESTIMENTA,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL,,SI,NO,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,NO,OTRAS
Sí,7/25/2024 15:55:05,6/13/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,"DIRECTIVOS, ESTUDIANTES",SI,NO,"APODOS, BURLAS/CHISTES, GESTOS INTIMIDANTES, EXCLUSIÓN DE GRUPOS Y ACTIVIDADES ESCOLARES, EMPUJONES, AMENAZAS, CIBERBULLYING (REENVÍO DE FOTOS, MEMES, STICKERS EN WHATSAPP, ETC.), ACOSO SEXUAL (QUE TE TOQUE, TE FOTOGRAFÍEN, ETC.), OTRAS SITUACIONES DE VIOLENCIA Y DISCRIMINACIÓN",NO,"FALTAR A CLASES POR MIEDO, DEFENDERTE CON FIRMEZA, PERO SIN EJERCER VIOLENCIA, DEFENDERTE VIOLENTAMENTE (CON INSULTOS, GOLPES, ETC.)",NO,SI,NO,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA,,SI,SI,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
No,3/5/2024 20:32:48,8/12/2004,20,Mujer cis,Sí,No,Lesbiana,Secundaria,Terciario estatal,Salta,A veces,Administrativos/Preceptores,Sí,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,Sí,No,,No Atravesé Situaciones De Violencia,Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",Sí,
Sí,7/25/2024 15:55:32,7/28/2006,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,"DIRECTIVOS, COORDINADORES, DOCENTES, ADMINISTRATIVOS/PRECEPTORES, PERSONAL DE MAESTRANZA, ESTUDIANTES",NO,NO,"INSULTOS, APODOS",NO,"DEFENDERTE CON FIRMEZA, PERO SIN EJERCER VIOLENCIA, NO REACCIONASTE ANTE ESTAS SITUACIONES",NO,NO,SI,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS",NO,
No,3/7/2024 10:25:49,3/8/2004,20,Otro,No,No,Pansexual,Superior (Unversitario/Terciario),Universidad estatal,Salta,A veces,Estudiantes,No,,Burlas/Chistes,No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,,Sí,No,,,No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
Sí,7/25/2024 15:55:54,6/27/2009,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,LA POMA,CONSTANTEMENTE,ESTUDIANTES,NO,,BURLAS/CHISTES,NO,,NO,,,NO,,,SI,,,NO,SI,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
Sí,7/25/2024 15:55:54,4/8/2009,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,LA POMA,A VECES,ESTUDIANTES,NO,,INSULTOS,SI,,NO,,,NO,,,SI,,,NO,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,
No,3/7/2024 12:35:47,1/27/2004,20,Mujer cis,Sí,No,Bisexual,Secundaria,Universidad estatal,Salta,A veces,Estudiantes,No,,Burlas/Chistes,No,,No,,No,Sí,Uniforme/Vestimenta,,Sí,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",No,
Sí,7/25/2024 15:55:59,7/1/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,LA POMA,CONSTANTEMENTE,ESTUDIANTES,NO,,BURLAS/CHISTES,NO,,NO,,,NO,,,SI,,,NO,SI,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
Sí,7/25/2024 15:56:16,2/27/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,NO,,,SI,,,SI,SI,"REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,
